Community,Protein
7,VAMP7
7,RAB31
7,C5orf15
7,NOTCH3
7,LSR
7,SEMA4B
7,CPD
7,KYNU
7,HLA-E
7,EEF1A2
7,VAMP2
7,STXBP3
7,RHOB
7,STX6
7,LRBA
7,NDRG1
7,MRC2
7,CD44
7,NRP2
7,ATM
7,NCAPG2
7,THADA
7,AGMAT
7,FASTKD1
7,PDS5A
7,INTS5
7,ATP13A1
7,NUBPL
7,INTS8
7,DOCK5
7,TMEM168
7,TUT1
7,TBC1D8
7,SCAI
7,FAM20B
7,STK11IP
7,ORF7b
7,KLHDC2
7,SPNS1
7,TMEM254
7,VAMP4
7,PGAP2
7,STX2
7,TVP23C
7,TM9SF1
7,CYBRD1
7,ABCB10
7,DPY19L3
7,BCAP31
7,CTNNA2
7,METTL16
7,BSCL2
7,ERBB2
7,LMAN1
7,GPR56
7,ENTPD4
7,SLC38A2
7,GALNT12
7,AGPAT3
7,SCAMP1
7,SAMD8
7,TMEM106C
7,BNIP3L
7,LAPTM4A
7,GPX8
7,CYP4F8
7,TUSC3
7,VTI1A
7,CASC4
7,C2orf43
7,NDC1
7,LPAR1
7,DHRS7
7,VEZT
7,UNC93B1
7,QSOX1
7,CYP2S1
7,MGST1
7,TMEM135
7,TMEM70
7,NDUFB11
7,ORAI1
7,HIGD2A
7,GPR126
7,ZDHHC18
7,DEGS1
7,S1PR3
7,SCAMP2
7,TMEM87A
7,ELOVL6
7,PNKD
7,MAN1B1
7,ACP2
7,C1QL1
7,ELOVL5
7,UBE2G2
7,TSPAN14
7,OPA3
7,TMED4
7,ZDHHC21
7,ZDHHC6
7,FKRP
7,APOOL
7,SLC2A6
7,CELSR2
7,NIPA1
7,MTFP1
7,POMGNT1
7,CTDNEP1
7,PTGES
7,CYP1B1
7,CD70
7,FAM20C
7,C15orf61
7,TMEM164
7,MFSD5
7,MFSD10
7,ITPRIPL2
7,SLC30A5
7,TMEM68
7,SLC35A2
7,CACNG6
7,TNFSF15
7,SGPP1
7,CHST14
7,RHBDD2
7,MFSD8
7,ZFPL1
7,SLC35F5
7,CLDN1
7,LMAN2L
7,SYNGR3
7,SLC47A2
7,CD81
7,TMPPE
7,TAMM41
7,TMEM177
7,PEX10
7,ARFIP1
7,SCFD1
7,SLC35A1
7,C1orf159
7,B3GALT6
7,OSTC
7,TRPM4
7,DAGLB
7,FUT8
7,GPR39
7,SEC61G
7,LETMD1
7,EFNB1
7,TMEM258
7,TCIRG1
7,ABHD5
7,SMIM1
7,ZDHHC13
7,TIMM17A
7,TMEM223
7,MUL1
7,FAM134A
7,C10orf54
7,XXYLT1
7,SLC15A4
7,WDR83OS
7,EXOG
7,AGPAT6
7,SCARA5
7,ELOVL7
7,TMEM214
7,EXTL3
7,KDELR1
7,TIMM17B
7,GJA1
7,BET1
7,TMEM221
7,LPCAT4
7,SYPL1
7,STRA6
7,PTRH2
7,AREG
7,SPTLC2
7,ALG14
7,TMED9
7,B3GAT3
7,TMEM256
7,GOSR2
7,FITM2
7,PAQR5
7,ALG13
7,STX16
7,SLC25A52
7,LGR4
7,DPY19L2
7,PDIA3
7,NRP1
7,RPS2
7,RPS3
7,NR2F2
7,RNF5
7,TMEM43
7,VKORC1
7,MMGT1
7,TIMM21
7,ZNF581
7,HERPUD1
7,GET4
7,CDH1
7,HMGB1
7,UPK3BL
7,ARPC1B
7,PREB
7,TRIM13
7,CLGN
7,YKT6
7,FAM189B
7,ADCY3
7,ABHD2
7,DNAJB4
7,SEC63
7,OSBPL8
7,PDZD8
7,ABCC2
7,ADH5
7,ANKRD46
7,TMEM201
7,ABCA1
7,EPHX1
7,FAT1
7,FNDC3A
7,ATF6
7,USP33
7,PDXDC1
7,ANKLE2
7,KIAA0922
7,DNAJC16
7,SUN1
7,TMEM131
7,TMEM9
7,YIPF3
7,C1orf43
7,ABHD12
7,NPTN
7,TMED8
7,FAM177A1
7,ORMDL2
7,HADHA
7,ITGB5
7,ARF1
7,KCNN4
7,SNX19
7,LRP6
7,LRP5
7,MCM5
7,TYW1B
7,CISD2
7,ATL1
7,SAR1B
7,BET1L
7,BFAR
7,UBE2J1
7,PKD2
7,STX18
7,TRPM7
7,TOR4A
7,RETSAT
7,PARP16
7,AUP1
7,LRRC59
7,SMPD4
7,TEX2
7,ALG1
7,PCDHB3
7,EMC7
7,PSMB5
7,GRAMD1B
7,ESYT2
7,STIM2
7,GRAMD1A
7,PTPN2
7,RAB27B
7,DNAJC1
7,ACBD3
7,SLC12A2
7,SLC16A1
7,BNIP1
7,SREBF2
7,VRK2
7,KIAA0319L
7,REEP4
7,KIAA1715
7,CAMLG
7,UBL4A
7,FZD6
7,SLC41A2
7,ANTXR1
7,ATRN
7,USP32
7,AGPAT9
7,TMEM209
7,ITPRIP
7,ABCC3
7,SGPL1
7,STBD1
7,PKMYT1
7,ACBD5
7,VAPB
7,MICAL2
7,LPGAT1
7,OCLN
7,ATP9A
7,CTDSP2
7,EMG1
7,SLC25A17
7,USP19
7,STARD3
7,RCC1
7,TMEM115
7,L3HYPDH
7,OSBPL9
7,OSBPL11
7,COPA
7,CPT1A
7,NFXL1
7,CXADR
7,RDH10
7,DAG1
7,CNST
7,JAG1
7,SERPINB1
7,SLC29A1
7,CLN8
7,WDR7
7,SLC44A1
7,ICMT
7,KDSR
7,GABRA5
7,GAPDH
7,APPL1
7,NBEA
7,ATP2C1
7,DIEXF
7,PIGW
7,SLC26A11
7,CPSF1
7,HMGCS1
7,APBB2
7,HSPA2
7,ARF5
7,LNPEP
7,TMEM41B
7,ASPH
7,MSRA
7,CYTB
7,NUCB1
7,OSBP
7,DERL2
7,GOLT1B
7,GULP1
7,PLA2G4A
7,TPCN1
7,ATP6V0A1
7,ATP7A
7,TMEM106B
7,SLC35F2
7,PIGG
7,TMEM161A
7,LPCAT2
7,PAK1IP1
7,TMEM38B
7,CPPED1
7,WDR12
7,PRKCA
7,PRKCI
7,TMEM165
7,PRKCQ
7,GPRC5C
7,BCAP29
7,PSMB3
7,NCLN
7,PSMB6
7,DOLPP1
7,FAM135A
7,USP36
7,ABCD4
7,ACTA1
7,C12orf10
7,RP2
7,RPL32
7,RPS4X
7,SC5D
7,SGTA
7,ELOVL1
7,NBEAL1
7,SLC2A3
7,SLC5A3
7,SLC7A1
7,SLC19A1
7,SLC22A3
7,SMPD2
7,TAP2
7,TSPO
7,UGDH
7,TMC7
7,SLC35G2
7,CLPTM1L
7,SLC7A5
7,SLC38A1
7,CDCA3
7,HSDL1
7,SLC25A11
7,ANKRD27
7,SYVN1
7,JAGN1
7,SLC9A7
7,AIFM2
7,TMEM87B
7,ABHD13
7,NUDCD1
7,EPT1
7,PPAP2C
7,CDS2
7,SLC5A6
7,CPNE3
7,AP1M1
7,GPRC5A
7,LMF2
7,XPR1
7,SFXN1
7,PSMF1
7,SLC4A7
7,EI24
7,GTPBP1
7,RNF14
7,FAM115A
7,CD151
7,SPCS2
7,PTDSS1
7,POM121
7,ZCCHC6
7,AKR1C1
7,ZNF292
7,AHDC1
7,CHD6
7,HIST1H1B
7,POM121C
7,ZMYM6NB
7,ALG3
7,RTN3
7,CHML
7,NUS1
7,ZFYVE27
7,LYSMD4
7,ABCA3
7,TMCC1
7,APOL2
7,GALNT2
7,SGMS1
7,ATL3
7,VPS33B
7,FAM45A
7,MXRA7
7,NBAS
7,PREP
7,PRKCD
7,USE1
7,PCDHB8
7,PCDHB6
7,S100A10
7,CYP4F12
7,SSR3
7,FMNL1
7,TMEM109
7,FA2H
7,SCD5
7,RAB33B
7,PLEKHA8
7,SFT2D3
7,TRIM5
7,TRPA1
7,EBAG9
7,PTPLA
7,ORMDL1
7,STX8
7,PITPNM1
7,CD47
7,C2CD2L
7,MARCH6
7,CGRRF1
7,AP4S1
7,SMYD4
7,TTC14
7,ERN1
7,REEP3
7,TBC1D9B
7,SEC11A
7,TMCO4
7,AHCTF1
7,DHRS7B
7,CNNM1
7,HID1
7,IGSF3
7,NIPAL4
7,RHOC
7,M6PR
7,SLC35C2
7,GDE1
7,CYCS
7,KCTD9
7,CNNM2
7,SLC47A1
7,DHX32
7,PCDHGB5
7,GPR107
7,RAB27A
7,HCN2
7,UBE2Z
7,CA8
7,VANGL1
7,GHDC
7,RNFT2
7,SLC16A5
7,ORF14
7,RAI1
7,TCERG1
7,EBNA1BP2
7,TOPBP1
7,PSIP1
7,KIF18B
7,EME1
7,SGOL2
7,CCDC71L
7,PDCD11
7,RBM34
7,SETX
7,RRP1B
7,PHF8
7,RRS1
7,RRP12
7,ZNF629
7,ZMYND8
7,PPIL2
7,UBN2
7,NIPBL
7,C3orf17
7,DCAF13
7,GNL3
7,ZBTB11
7,UTP20
7,ATAD2
7,GNL2
7,BAZ2B
7,TNPO2
7,INCENP
7,RBM12B
7,NRD1
7,NUMA1
7,PARN
7,RSL24D1
7,ESF1
7,ARID4B
7,PHF2
7,ZNF280D
7,GON4L
7,IMP3
7,BRIX1
7,ASH1L
7,DDX24
7,REXO4
7,CBX8
7,ZBED5
7,KDM5A
7,RBM26
7,NOC3L
7,DDX31
7,SURF6
7,TEAD1
7,TOP2B
7,XPC
7,ZNF112
7,SLTM
7,EHMT1
7,ATAD5
7,CHD9
7,HIST1H2BO
7,ZNF644
7,L3MBTL3
7,BUD13
7,FAM207A
7,DDX18
7,BAZ1B
7,EXO1
7,SCAF11
7,ZMYM3
7,RECQL5
7,DDX23
7,CDYL
7,ZNF592
7,PHF14
7,BMS1
7,RBM19
7,DCLRE1A
7,MED12
7,CUEDC1
7,PLD1
7,EPB41L4B
7,SHB
7,VTI1B
7,EXOC3
7,DENND5B
7,DAPK1
7,DENND6A
7,FAM219A
7,PSME4
7,EXOC6B
7,CDC42EP4
7,ARFIP2
7,GOLGA1
7,AGFG2
7,LAMB2
7,UHRF1BP1
7,CCDC186
7,PI4K2B
7,TBC1D23
7,PLEKHA3
7,SPRY4
7,BHLHE40
7,VAMP8
7,AP4M1
7,RUSC2
7,SEC31A
7,ARFRP1
7,TLR6
7,TBR1
7,THSD7A
7,PIGN
7,PANX1
7,PCDHB5
7,SLCO3A1
7,CYP4V2
7,PI4KB
7,TMEM9B
7,FAM160B1
7,SLC6A8
7,FZD5
7,PIGB
7,TMEM59
7,RPS4Y2
7,MARVELD2
7,FAM171A1
7,PCNX
7,SLC9A8
7,PRKD3
7,TMEM98
7,SLITRK5
7,GGT7
7,APBB1
7,RGPD1
7,LRCH4
7,THEM6
7,GPRC5B
7,TMEM132A
7,TCP11L1
7,TMEM63B
7,PCDHGB3
7,PCDHA1
7,VANGL2
7,ANO8
7,SENP2
7,SDC4
7,BNIP2
7,PRR14
7,LPCAT1
7,PCDHGB4
7,PRSS23
7,COL4A2
7,ATF6B
7,FUCA2
7,GNS
7,NOMO2
7,ITGA2
7,ITGAV
7,POGLUT1
7,APMAP
7,RAC2
7,P3H1
7,SLIT3
7,LRRC8E
7,COL18A1
7,AFG3L2
7,EARS2
7,ALDH2
7,PCK2
7,MCAM
7,KIAA1549
7,LPHN2
7,AGPAT4
7,APH1A
7,ARV1
7,ASTN1
7,BACE2
7,BTN2A1
7,BTN2A2
7,BTN3A2
7,BTN3A3
7,CERS4
7,CERS5
7,CERS6
7,CHMP7
7,CNIH4
7,DENND4B
7,DHRS1
7,C3orf58
7,DNAJC14
7,ELOVL4
7,EPHA7
7,FAAH
7,FBLL1
7,FZD3
7,GPM6A
7,GRAMD1C
7,IER3IP1
7,IFT80
7,ILDR2
7,JAG2
7,JAM3
7,JPH3
7,KCNJ11
7,KCNJ8
7,LAMTOR2
7,LMBR1
7,LRRC8B
7,MDFIC
7,MIA2
7,MPZL2
7,NCAM1
7,NIPAL3
7,NIPSNAP1
7,PIGC
7,PIGK
7,PIGX
7,PODXL2
7,REEP2
7,RTN1
7,SEMA6A
7,SLC41A3
7,PQLC1
7,SYT9
7,TMCC3
7,TMEM189
7,TMEM39A
7,TMEM59L
7,TMX4
7,TRAM2
7,TRIM4
7,UBQLN4
7,UNC5C
7,LOC107983993
7,ABCB9
7,ABHD6
7,ADD3
7,AHCYL2
7,ALCAM
7,AP1AR
7,ARL13B
7,ATP6V0C
7,BAG4
7,CACHD1
7,C19orf26
7,CCDC117
7,CHMP6
7,CSNK1G3
7,CTDSP1
7,DCBLD1
7,DESI2
7,DMD
7,DNAJB6
7,DOCK11
7,EFNB2
7,EHD1
7,EHD4
7,EPB41
7,EPB41L3
7,EPHA3
7,FAM83B
7,FTSJ1
7,GRID1
7,GUCY1B3
7,IL1RAP
7,IQGAP2
7,LRIG1
7,LRIG2
7,METTL7A
7,MPP6
7,MPP7
7,NDRG3
7,OSBPL3
7,PAG1
7,PCDH7
7,PIK3R3
7,PIP5K1A
7,PLCB1
7,PPP1R15B
7,PRRT4
7,PTPN9
7,PTPRG
7,REEP1
7,ROR2
7,SCFD2
7,SH3BP4
7,SLC16A10
7,SLC1A4
7,SLC20A2
7,SLC26A6
7,SLC27A3
7,SLC30A4
7,SLC9B2
7,SPRY1
7,STEAP1
7,TBC1D22B
7,TMEM222
7,TPD52L2
7,TUSC2
7,UBQLN2
7,USP20
7,WDR20
7,ZDBF2
7,ZDHHC8
7,TTF2
7,YTHDC2
7,SUMO2
7,ANKHD1
7,MORF4L2
7,ARHGAP35
7,CASP7
7,CCNB2
7,CEP120
7,COBL
7,DCDC2
7,E2F4
7,GTSE1
7,LUZP1
7,ATP8
7,NEK4
7,PPP1R15A
7,RCHY1
7,SAMD1
7,SNX25
7,TTK
7,USP3
7,ZER1
7,ZUFSP
7,AGPAT2
7,ANKMY2
7,ANO5
7,ARHGAP8
7,CAB39
7,CDKN2A
7,CEPT1
7,CLCN2
7,DGCR2
7,DNAJC18
7,KIAA1324L
7,ENPP1
7,ERICH5
7,FAM169A
7,FRAS1
7,GLB1L2
7,GPR108
7,GTF2H2C
7,KLHL22
7,LRP2
7,FAM129A
7,NRM
7,ORMDL3
7,PCID2
7,PCYT1A
7,PRKD1
7,RAB22A
7,RAB24
7,SFT2D2
7,SLC1A1
7,SLC43A1
7,SLCO4C1
7,STX17
7,SV2A
7,SYNE3
7,TMEM184B
7,TMEM53
7,TRAPPC1
7,UBR2
7,ZDHHC14
7,C18orf32
7,ELMOD2
7,C14orf1
7,GREB1L
7,GXYLT1
7,IPO7
7,KHNYN
7,MTMR14
7,NDUFA2
7,NDUFB8
7,NDUFS7
7,GBAS
7,PEX11B
7,PEX14
7,PIGP
7,PPM1L
7,TMEM242
7,TOM1
7,TOM1L2
7,BBX
7,C14orf169
7,ANXA11
7,ANP32E
7,C19orf47
7,CBX2
7,CBX4
7,CENPC
7,CTPS2
7,CTR9
7,DDX28
7,DDX49
7,FLYWCH1
7,GTF3C3
7,HOXA5
7,C4orf27
7,IDH3A
7,KDM1B
7,MAK16
7,MAPK1
7,MPHOSPH6
7,C17orf85
7,NDUFB10
7,NFIC
7,NKX2-5
7,NOC4L
7,NPM3
7,P2RY1
7,PIGM
7,PPAN
7,RAD23B
7,RPLP1
7,RPP14
7,SLC44A5
7,SMARCA1
7,SMIM19
7,SNRPD3
7,SRBD1
7,SUPT4H1
7,TAF1
7,TCOF1
7,PAPD5
7,TEX10
7,TMEM167A
7,TP53RK
7,UTP3
7,ZBTB9
7,ZNF512B
7,ZSCAN21
7,OCRL
7,RAB11FIP1
7,RAB11FIP2
7,SCYL2
7,TRAPPC3
7,VCP
7,FYTTD1
7,HIP1
7,LAMTOR1
7,LAMTOR3
7,PSMA1
7,PSMA5
7,WDR13
7,PSMC2
7,ATXN3
7,CD83
7,DNAAF5
7,DNAJC25
7,EMB
7,GLRB
7,MAP3K11
7,NHLRC3
7,OCA2
7,PIEZO1
7,PPAP2A
7,SOGA3
7,SPPL2B
7,TMEM179B
7,TMEM231
7,XPO6
7,BAI1
7,CADM4
7,COLEC12
7,CSPG4
7,EDA
7,FZD8
7,GDPD1
7,GPM6B
7,ITGA7
7,KCNMB4
7,LINGO1
7,MAOA
7,OSTF1
7,PAPSS2
7,PLSCR1
7,PSEN1
7,PTPRU
7,SLC29A2
7,SYNDIG1
7,TMEM147
7,TMEM63C
7,RPS25
7,ABCB1
7,ALG10
7,AP4E1
7,BICD1
7,IFT46
7,C17orf75
7,C19orf25
7,SMIM12
7,C9orf72
7,CADM1
7,CAPNS1
7,CBX5
7,CHRNA5
7,CORO7-PAM16
7,CPOX
7,DCD
7,DEPDC1B
7,DHRS13
7,DSC2
7,F11R
7,FAM105A
7,GBA2
7,GPN1
7,GRAMD3
7,GRAMD4
7,GRB2
7,HIST1H3F
7,HSPBP1
7,ITGA5
7,JPH1
7,KCNG1
7,KIAA0100
7,KIAA2013
7,KIF22
7,LRRC8C
7,LSM1
7,LYSMD3
7,MBOAT2
7,NEDD4
7,OSBPL10
7,PDE3B
7,PDK1
7,PIK3R1
7,PIK3R2
7,PRKCH
7,PSMB1
7,RNF185
7,RNFT1
7,SBDS
7,SEC11C
7,SLC6A9
7,SLC7A2
7,STX3
7,TBC1D20
7,TJAP1
7,TMEM161B
7,TMEM219
7,TMTC1
7,UFSP2
7,UGT8
7,UHRF1BP1L
7,VPS53
7,WLS
7,TRIM32
7,TMED1
7,NOMO3
7,DCTN1
7,SUSD2
7,MAGED2
7,CKAP5
7,ISG15
7,SAMHD1
7,EIF5A2
7,KIF9
7,KLHL36
7,AKT3
7,XPNPEP3
7,SERPINB4
7,GNPTAB
7,DDHD2
7,MRS2
7,GNPTG
7,TTC30A
7,ABHD14A
7,RDH12
7,RNF121
7,B4GALT3
7,SPG7
7,ACSS1
7,FRMD5
7,FXYD6
7,IL18R1
7,CD302
7,ERBB4
7,RTN2
7,MOB1B
7,KHDC1
7,PTTG1IP
7,ROGDI
7,VEZF1
7,ZNF768
7,SLC5A2
7,LRIT3
7,SSRP1
7,VRK1
7,MECP2
7,BAZ1A
7,BIN1
7,TMEM8A
7,XPO4
7,EXOC7
7,TBC1D9
7,RAD23A
7,PGK2
7,HSPA7
7,HTT
7,MAP1LC3C
7,TPM4
7,TRAFD1
7,ST13P4
7,INA
7,CDC42BPA
7,NKAP
7,MYH14
7,TDP1
7,HIST1H2AA
7,TUBB2B
7,RAI14
7,CRYZ
7,KRT77
7,MAP2K1
7,TMOD2
7,XPO7
7,TNPO3
7,CCDC142
7,RNPS1
7,MRPL53
7,SARNP
7,CMC1
7,KRT14
7,TLR2
7,TRAF3
7,IKBKE
7,MLLT4
7,PHF6
7,H1FX
7,RPLP2
7,RPL34
7,HTRA1
7,MAST2
7,RADIL
7,LGALS1
7,RPLP0
7,HIST2H2BF
7,ABCC9
7,ASTN2
7,BBS5
7,SHISA9
7,TMEM212
7,ZNF66
7,CCND3
7,ADRM1
7,WDR77
7,TRIP13
7,PSMB2
7,PSMD13
7,PSMA4
7,NT5C2
7,MAP1B
7,KIAA0368
7,NIP7
7,SNX33
7,CDC42BPB
7,EPN1
7,KIAA1919
7,ATP9B
7,ALKBH1
7,CHST11
7,ATP11B
7,UXS1
7,RNF167
7,TNFRSF12A
7,BCKDHB
7,TBL1XR1
7,PTCD2
7,IDH3G
7,MRPL38
7,SLC38A9
7,C20orf24
7,SPPL2A
7,CERS1
7,FADS3
7,TRRAP
7,GFPT2
7,PDS5B
7,CYP20A1
7,TMEM128
7,RRAS2
7,TSPAN15
7,ANAPC2
7,IGSF8
7,ALG12
7,TMCO3
7,PODXL
7,TBCD
7,TMUB2
7,GRK6
7,TSPAN13
7,SNX13
7,TMEM246
7,GNPAT
7,ABHD17B
7,SEC22A
7,TSPAN3
7,CD63
7,CD82
7,TMEM102
7,RNF182
7,COL4A1
7,WBP1L
7,PITPNM3
7,KCNE4
7,TAOK2
7,PDCD4
7,ORAI3
7,UBXN2B
7,HIAT1
7,TMEM129
7,RAP2A
7,GPR115
7,UBXN2A
7,ANXA10
7,ARL6IP1
7,S100A16
7,LRRC40
7,BNIP3
7,CDC42SE2
7,PRRG1
7,MVD
7,NIPA2
7,TSPAN4
7,CRABP2
7,MYL12B
7,MIEF1
7,PLAA
7,SP1
7,ZNF444
7,SYNGR2
7,IK
7,ORC5
7,TSPAN9
7,MPV17
7,DHODH
7,TTI2
7,HDDC2
7,SLC25A23
7,NCDN
7,ZNHIT6
7,WDR76
7,CREB5
7,JUND
7,KATNBL1
7,C1orf174
7,ATF3
7,TATDN2
7,MSX2
7,CCNG1
7,FZD7
7,KDM6A
7,LRRC7
7,HLA-DQB1
7,KDELR3
7,MBTPS2
7,ATP5G3
7,TMEM208
7,DPAGT1
7,MYH16
7,SLC39A6
7,SYNGR1
7,CMTM4
7,SYS1
7,FAM57A
7,ND1
7,MFSD11
7,DYNC1H1
7,ASB6
7,CROCC
7,GCFC2
7,NFATC4
7,SYTL2
7,TMSB4X
7,SHC4
7,ITPRIPL1
7,LMF1
7,XRCC1
7,TMEM35
7,KRTCAP2
7,MFSD9
7,PCDH17
7,USP24
7,PSMA8
7,CREB3
7,CCDC64B
7,CREB3L1
7,CEP57L1
7,MKRN3
7,CD27
7,CD40
7,IL27RA
7,LY6E
7,LYPD5
7,C19orf18
7,FFAR2
7,HAVCR2
7,OR1D5
7,PCDHB1
7,PRB3
7,SLC51B
7,TBXA2R
7,TMEM14B
7,TMEM45A
7,TSPAN8
7,SLC10A1
7,RGS13
7,PRKAG2
7,KCTD13
7,HSD11B1L
7,GMCL1
7,FCER1G
7,CRX
7,BEND7
7,SSH2
7,EGR1
7,TMEM154
7,LYZL6
7,KCNJ12
7,CLHC1
7,AFTPH
7,BABAM1
7,SOX2
7,GXYLT2
7,TJP3
7,POU6F2
7,ARHGAP4
7,FAM178A
7,TCTEX1D4
7,AADACL3
7,ROBO3
7,REXO1
7,USP43
7,LRRK1
7,TNS1
7,FGFBP3
7,SLC26A4
7,SEC14L5
7,FBXO38
7,YRDC
7,CLMP
7,PPP1R14A
7,GRB14
7,ZBTB4
7,ASPN
7,DOCK2
7,RSRC1
7,TRIM55
7,SH2B3
7,CCNT2
7,HDAC7
7,C5orf24
7,CCDC120
7,STK35
7,SERTAD4
7,HMGA1
7,ATPIF1
7,MED15
7,CCNL1
7,SLC25A19
7,PSME2
7,MYL9
7,MYL3
7,MYH7B
7,MTMR11
7,MYH6
7,YWHAE
7,YWHAB
7,RBPMS
7,IGHM
7,LIN28A
7,LRP1
7,UNC45B
7,PAICS
7,MYL7
7,COL3A1
7,C4A
7,KRT5
7,HIST2H2AA3
7,HIST1H2BH
7,OTOF
7,MT1A
7,S100A7
7,OTOGL
7,BST2
7,TERF2
7,COASY
7,EIF3J
7,EML4
7,SF3A2
7,STK38L
7,BAK1
7,SCARF2
7,CD320
7,C17orf49
7,PCNXL2
7,PLEKHM1
7,NCOA2
7,MBOAT1
7,AZIN2
7,PARP10
7,PRDM14
7,TSGA10IP
7,ANO7
7,SIT1
7,KANSL1L
7,OSBPL5
7,TET3
7,XIRP2
7,CARD10
7,OR4K14
7,NCOA1
7,TLK2
7,GPR180
7,GGA1
7,GPR50
7,SNX4
7,ATP1A2
7,SIX4
7,ETV3
7,MARCH1
7,CCDC107
7,BCL2L1
7,NLK
7,SDC2
7,MEAF6
7,BRD1
7,TUBA1C
7,C11orf84
7,BRAT1
7,MTOR
7,ASNA1
7,HDX
7,ATP6V1H
7,COPRS
7,CHD4
7,QPCTL
7,GPN3
7,CADPS2
7,DCAF8
7,POMK
7,PPP2R2D
7,ZCCHC10
7,TIMP1
7,TOR3A
7,MMS22L
7,EXOC8
7,ND2
7,ARHGAP12
7,CDKL2
7,RPL36A
7,HK2
7,NAA15
7,ZDHHC12
7,ZDHHC15
7,ACTA2
7,ACTG2
7,CTBP2
7,DTNA
7,GLUD2
7,PYGL
7,RALB
7,UBB
7,ATP8A1
7,SLC38A3
7,CRCP
7,DEF6
7,SLC35B3
7,TVP23B
7,PLEKHA8P1
7,ADAM22
7,CPVL
7,SAYSD1
7,PCDH10
7,RAP2C
7,NABP2
7,RAB6C
7,MRI1
7,CSNK1A1L
7,RLTPR
7,DDX26B
7,FAM26E
7,KLRG2
7,RPL13AP3
7,MIR3622B
7,RNVU1-7
7,SNRPGP7
7,PLN
